  -19.5161    7.5611  -17.7502    7.4918  -15.9630    7.4284  -14.1527    7.3721  -12.3181    7.3221  -10.4571    7.2793   -8.5676    7.2435   -6.6476    7.2155   -4.6947    7.1956   -2.7062    7.1842   -0.6793    7.1817    1.3891    7.1889    3.5026    7.2060    5.6652    7.2340    7.8813    7.2737   10.1560    7.3259   12.4952    7.3918   14.9056    7.4726   17.3951    7.5700   19.9732    7.6852   22.6509    7.8205
  -19.4814    6.3917  -17.7160    6.3232  -15.9293    6.2604  -14.1196    6.2047  -12.2855    6.1550  -10.4248    6.1124   -8.5358    6.0768   -6.6162    6.0486   -4.6636    6.0284   -2.6755    6.0166   -0.6489    6.0134    1.4192    6.0197    3.5324    6.0357    5.6946    6.0624    7.9104    6.1004   10.1848    6.1509   12.5236    6.2146   14.9336    6.2930   17.4227    6.3873   20.0003    6.4993   22.6775    6.6308
  -19.4463    5.1833  -17.6816    5.1155  -15.8953    5.0536  -14.0861    4.9981  -12.2523    4.9488  -10.3920    4.9064   -8.5033    4.8708   -6.5840    4.8427   -4.6317    4.8221   -2.6438    4.8098   -0.6175    4.8059    1.4503    4.8113    3.5633    4.8261    5.7253    4.8516    7.9409    4.8879   10.2150    4.9364   12.5536    4.9980   14.9633    5.0738   17.4521    5.1651   20.0293    5.2736   22.7061    5.4011
  -19.4115    3.9332  -17.6469    3.8664  -15.8610    3.8052  -14.0520    3.7504  -12.2186    3.7015  -10.3586    3.6592   -8.4701    3.6236   -6.5510    3.5953   -4.5989    3.5745   -2.6112    3.5616   -0.5850    3.5569    1.4827    3.5613    3.5955    3.5750    5.7574    3.5990    7.9728    3.6338   10.2468    3.6804   12.5853    3.7396   14.9949    3.8126   17.4836    3.9009   20.0606    4.0058   22.7370    4.1293
  -19.3763    2.6394  -17.6120    2.5735  -15.8264    2.5129  -14.0177    2.4587  -12.1843    2.4103  -10.3245    2.3681   -8.4362    2.3327   -6.5172    2.3041   -4.5652    2.2829   -2.5776    2.2693   -0.5514    2.2639    1.5162    2.2673    3.6291    2.2799    5.7910    2.3024    8.0064    2.3355   10.2804    2.3799   12.6188    2.4368   15.0284    2.5072   17.5171    2.5923   20.0941    2.6933   22.7705    2.8128
  -19.3411    1.2994  -17.5771    1.2341  -15.7915    1.1743  -13.9829    1.1205  -12.1497    1.0725  -10.2899    1.0305   -8.4016    0.9952   -6.4826    0.9665   -4.5306    0.9448   -2.5428    0.9307   -0.5167    0.9245    1.5511    0.9268    3.6641    0.9381    5.8261    0.9592    8.0416    0.9903   10.3158    1.0328   12.6544    1.0871   15.0641    1.1545   17.5529    1.2364   20.1301    1.3338   22.8067    1.4488
  -19.3059   -0.0901  -17.5418   -0.1544  -15.7563   -0.2135  -13.9478   -0.2668  -12.1145   -0.3145  -10.2547   -0.3563   -8.3662   -0.3917   -6.4471   -0.4207   -4.4949   -0.4427   -2.5070   -0.4572   -0.4806   -0.4644    1.5874   -0.4631    3.7006   -0.4531    5.8629   -0.4338    8.0787   -0.4044   10.3532   -0.3643   12.6921   -0.3126   15.1022   -0.2481   17.5913   -0.1697   20.1689   -0.0762   22.8458    0.0343
  -19.2706   -1.5317  -17.5066   -1.5954  -15.7210   -1.6538  -13.9123   -1.7066  -12.0788   -1.7540  -10.2188   -1.7957   -8.3301   -1.8312   -6.4107   -1.8604   -4.4582   -1.8827   -2.4699   -1.8981   -0.4432   -1.9060    1.6251   -1.9058    3.7388   -1.8974    5.9015   -1.8797    8.1178   -1.8523   10.3927   -1.8144   12.7322   -1.7653   15.1428   -1.7039   17.6325   -1.6292   20.2105   -1.5395   22.8881   -1.4337
  -19.2355   -3.0294  -17.4713   -3.0922  -15.6854   -3.1498  -13.8764   -3.2023  -12.0426   -3.2493  -10.1822   -3.2908   -8.2932   -3.3264   -6.3733   -3.3559   -4.4204   -3.3787   -2.4317   -3.3947   -0.4044   -3.4038    1.6645   -3.4047    3.7787   -3.3976    5.9420   -3.3817    8.1590   -3.3564   10.4346   -3.3209   12.7748   -3.2748   15.1862   -3.2165   17.6767   -3.1454   20.2556   -3.0600   22.9340   -2.9590
  -19.2008   -4.5868  -17.4361   -4.6487  -15.6498   -4.7056  -13.8403   -4.7576  -12.0060   -4.8043  -10.1451   -4.8457   -8.2555   -4.8813   -6.3350   -4.9111   -4.3814   -4.9345   -2.3920   -4.9513   -0.3641   -4.9613    1.7056   -4.9637    3.8206   -4.9579    5.9847   -4.9437    8.2025   -4.9208   10.4791   -4.8879   12.8202   -4.8445   15.2326   -4.7898   17.7241   -4.7224   20.3042   -4.6415   22.9838   -4.5456
  -19.1663   -6.2078  -17.4011   -6.2690  -15.6142   -6.3255  -13.8040   -6.3767  -11.9690   -6.4232  -10.1073   -6.4642   -8.2170   -6.5002   -6.2957   -6.5302   -4.3413   -6.5543   -2.3510   -6.5718   -0.3221   -6.5829    1.7485   -6.5865    3.8645   -6.5824    6.0296   -6.5702    8.2486   -6.5496   10.5263   -6.5193   12.8686   -6.4789   15.2823   -6.4277   17.7752   -6.3645   20.3567   -6.2881   23.0378   -6.1974
  -19.1323   -7.8973  -17.3663   -7.9575  -15.5785   -8.0132  -13.7675   -8.0643  -11.9316   -8.1103  -10.0690   -8.1514   -8.1776   -8.1873   -6.2554   -8.2179   -4.2999   -8.2425   -2.3085   -8.2609   -0.2785   -8.2730    1.7933   -8.2782    3.9106   -8.2758    6.0771   -8.2657    8.2974   -8.2471   10.5765   -8.2198   12.9203   -8.1826   15.3356   -8.1350   17.8302   -8.0761   20.4135   -8.0045   23.0966   -7.9193
  -19.0989   -9.6602  -17.3318   -9.7195  -15.5430   -9.7744  -13.7309   -9.8250  -11.8939   -9.8709  -10.0301   -9.9118   -8.1375   -9.9480   -6.2140   -9.9790   -4.2571  -10.0040   -2.2644  -10.0236   -0.2330  -10.0368    1.8403  -10.0435    3.9591  -10.0428    6.1272  -10.0350    8.3491  -10.0189   10.6300   -9.9945   12.9757   -9.9606   15.3929   -9.9169   17.8896   -9.8624   20.4751   -9.7960   23.1605   -9.7167
  -19.0663  -11.5021  -17.2979  -11.5605  -15.5078  -11.6148  -13.6943  -11.6647  -11.8559  -11.7104   -9.9906  -11.7514   -8.0965  -11.7876   -6.1714  -11.8189   -4.2130  -11.8450   -2.2186  -11.8654   -0.1855  -11.8799    1.8896  -11.8882    4.0102  -11.8895    6.1802  -11.8839    8.4042  -11.8705   10.6872  -11.8492   13.0351  -11.8189   15.4547  -11.7794   17.9539  -11.7294   20.5420  -11.6684   23.2302  -11.5950
  -19.0347  -13.4292  -17.2648  -13.4868  -15.4730  -13.5404  -13.6579  -13.5899  -11.8177  -13.6352   -9.9507  -13.6762   -8.0547  -13.7127   -6.1278  -13.7445   -4.1674  -13.7713   -2.1711  -13.7928   -0.1359  -13.8086    1.9413  -13.8186    4.0642  -13.8220    6.2364  -13.8187    8.4628  -13.8082   10.7484  -13.7902   13.0990  -13.7638   15.5214  -13.7285   18.0235  -13.6837   20.6149  -13.6282   23.3065  -13.5611
  -19.0044  -15.4485  -17.2326  -15.5053  -15.4388  -15.5581  -13.6216  -15.6073  -11.7794  -15.6524   -9.9102  -15.6934   -8.0121  -15.7302   -6.0830  -15.7625   -4.1203  -15.7901   -2.1216  -15.8127   -0.0839  -15.8300    1.9958  -15.8417    4.1212  -15.8473    6.2962  -15.8467    8.5255  -15.8393   10.8140  -15.8247   13.1677  -15.8024   15.5935  -15.7717   18.0991  -15.7320   20.6944  -15.6827   23.3901  -15.6224
  -18.9757  -17.5681  -17.2014  -17.6236  -15.4054  -17.6761  -13.5859  -17.7248  -11.7412  -17.7697   -9.8695  -17.8108   -7.9687  -17.8479   -6.0369  -17.8808   -4.0715  -17.9093   -2.0700  -17.9331   -0.0295  -17.9519    2.0532  -17.9656    4.1817  -17.9736    6.3599  -17.9757    8.5925  -17.9716   10.8846  -17.9607   13.2420  -17.9427   15.6716  -17.9169   18.1815  -17.8828   20.7811  -17.8398   23.4818  -17.7870
